73,151,93,0,0
24,220,160,2,0
110,177,142,5,0
10,220,158,4,0
10,219,163,4,0
120,12,175,1,0
25,231,160,2,0
113,15,176,1,0
110,213,133,5,0
11,215,199,4,0
10,204,194,4,0
77,133,133,0,0
11,212,200,4,0
78,138,130,0,0
111,185,181,5,0
24,212,201,2,0
111,167,182,5,0
111,39,247,1,0
24,195,165,2,0
77,119,109,0,0
10,228,168,4,0
1,194,121,3,0
110,215,125,5,0
73,26,107,1,0
111,15,171,1,0
2,201,127,3,0
72,144,107,0,0
111,203,170,5,0
111,196,176,5,0
0,154,162,3,0
109,28,222,1,0
25,193,202,2,0
177,139,164,3,0
1,161,166,3,0
9,182,214,4,0
177,134,170,3,0
8,172,163,4,0
23,185,163,2,0
9,233,166,4,0
74,155,93,0,0
116,22,172,1,0
1,178,132,3,0
125,9,166,1,0
110,224,124,5,0
109,12,171,1,0
77,144,125,0,0
78,139,128,0,0
24,193,201,2,0
112,33,223,1,0
178,149,156,3,0
24,186,207,2,0
1,172,153,3,0
25,195,195,2,0
111,174,190,5,0
111,175,142,5,1
79,129,109,0,1
24,189,173,2,1
110,211,133,5,1
24,202,164,2,1
110,213,135,5,1
110,213,133,5,1
122,20,182,1,1
9,214,180,4,1
78,137,132,0,1
25,173,200,2,1
24,166,210,2,1
25,185,198,2,1
173,131,161,3,1
24,148,217,2,1
110,195,191,5,1
172,124,162,3,1
24,105,214,2,1
23,190,162,2,1
179,148,131,3,1
116,20,179,1,1
1,182,125,3,1
9,215,166,4,1
111,167,132,5,1
2,208,125,3,1
24,220,169,2,1
73,140,112,0,1
0,165,158,3,1
10,198,202,4,1
116,36,236,1,1
10,197,202,4,1
111,194,179,5,1
78,126,139,0,1
10,195,213,4,1
76,129,140,0,1
178,130,178,3,1
0,148,124,3,1
125,9,162,1,1
109,12,164,1,1
9,220,154,4,1
74,165,87,0,1
109,12,166,1,1
9,229,156,4,1
1,209,127,3,1
110,215,115,5,1
77,141,125,0,1
77,136,129,0,1
119,25,228,1,1
111,191,171,5,1
114,28,217,1,1
111,28,239,1,1
10,200,200,4,1
8,177,206,4,1
77,113,136,0,1
73,146,105,0,2
76,136,111,0,2
74,136,108,0,2
111,17,176,1,2
111,14,180,1,2
115,11,182,1,2
1,199,132,3,2
24,225,172,2,2
109,221,134,5,2
11,207,207,4,2
77,133,136,0,2
10,196,210,4,2
0,155,167,3,2
178,140,167,3,2
24,161,215,2,2
0,155,171,3,2
177,122,172,3,2
112,149,216,5,2
1,191,123,3,2
9,194,164,4,2
116,15,174,1,2
1,196,121,3,2
9,225,162,4,2
111,189,129,5,2
23,229,166,2,2
10,220,175,4,2
23,216,177,2,2
77,144,122,0,2
111,202,165,5,2
114,28,227,1,2
10,207,196,4,2
77,141,126,0,2
111,175,186,5,2
111,194,177,5,2
9,188,206,4,2
9,172,217,4,2
23,168,166,2,2
77,122,109,0,2
110,234,122,5,2
109,11,160,1,2
110,218,126,5,2
113,18,174,1,2
24,238,165,2,2
24,233,164,2,2
120,3,170,1,2
0,168,156,3,2
25,197,199,2,2
10,192,208,4,2
111,200,180,5,2
25,192,201,2,2
78,118,138,0,2
76,139,130,0,2
