1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,178,189,4,0
0.985,0,0,0,0,0.015,0,0,0,1,0,0,0,1,0,0,4,177,71,3,0
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,41,136,173,2,0
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,69,158,118,0,0
0.9425,0,0,0,0,0.0575,0,0,0,1,0,0,0,1,0,0,4,170,73,3,0
0,0,0,1,0,0,0,0,0,0.0025,1,0,0,1,0,0,107,211,109,5,0
0.9425,0,0,0,0,0.0575,0,0,0,1,0,0,0,1,0,0,4,164,76,3,0
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,41,136,172,2,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,190,202,4,0
0,0,0,1,0,0,0,0,0,0.985,0.015,0,0,1,0,0,108,187,154,5,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,189,255,4,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,39,151,221,2,0
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,110,43,241,1,0
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,67,165,159,0,0
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,114,41,242,1,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,40,153,237,2,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,39,155,234,2,0
1,0,0,0,0,0,0,0,0,0.9925,0.0275,0,0,0,0,1,4,195,255,4,0
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,69,160,116,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0.9925,0.0125,0,41,136,175,2,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9575,0.0675,3,193,204,4,0
0,0,0,1,0,0,0,0,0,0.54,0.5475,0,0,1,0,0,107,201,114,5,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0.905,0.23,0,41,135,178,2,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.58,0.5025,4,189,212,4,0
0.8425,0,0,0,0.0025,0.1575,0,0,0,1,0,0,0,1,0,0,2,150,79,3,0
0,0,0,1,0,0,0,0,0,0.1425,0.9025,0,0,1,0,0,107,204,115,5,0
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,69,169,118,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,39,136,231,2,0
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,113,50,242,1,0
1,0,0,0,0,0,0,0,0,0.645,0.37,0,0,1,0,0,3,185,105,3,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,39,149,243,2,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,193,255,4,0
0.9975,0,0,0,0,0.0025,0,0,0,0.685,0.3675,0,0,1,0,0,3,194,109,3,0
1,0,0,0,0,0,0,0,0,0.6275,0.4275,0,0,1,0,0,3,194,108,3,0
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,67,172,160,0,0
0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,108,225,155,5,0
