11,243,170,4,0
0,207,136,3,0
179,190,160,3,0
1,210,129,3,0
0,199,147,3,0
116,40,255,1,0
112,238,150,5,0
111,228,178,5,0
26,234,228,2,0
112,232,224,5,0
114,59,253,1,0
26,232,178,2,0
12,238,233,4,0
112,233,200,5,0
77,176,119,0,0
111,230,212,5,0
26,233,218,2,0
75,173,122,0,0
77,193,78,0,0
112,52,199,1,0
12,244,194,4,0
11,250,152,4,0
73,176,106,0,0
26,241,198,2,0
27,252,148,2,0
27,248,183,2,0
13,248,210,4,0
110,39,255,1,0
178,190,156,3,0
12,245,202,4,0
13,244,240,4,0
27,232,217,2,0
77,161,133,0,0
103,22,255,1,0
0,192,172,3,0
0,200,160,3,0
26,239,159,2,0
113,232,152,5,0
0,211,134,3,0
26,246,164,2,0
111,24,193,1,0
111,28,208,1,0
83,7,152,1,0
112,239,146,5,0
2,210,158,3,0
76,153,144,0,0
112,229,203,5,0
75,155,124,0,0
73,153,156,0,0
12,241,230,4,0
74,162,131,0,0
111,226,222,5,0
12,239,238,4,0
110,28,238,1,0
78,163,115,0,1
178,187,153,3,1
12,232,236,4,1
0,195,145,3,1
13,243,215,4,1
75,145,160,0,1
12,243,193,4,1
13,243,215,4,1
25,226,249,2,1
110,210,255,5,1
12,228,255,4,1
78,149,153,0,1
29,211,255,2,1
76,145,173,0,1
112,221,239,5,1
0,176,230,3,1
90,1,255,1,1
107,22,255,1,1
11,232,186,4,1
112,218,200,5,1
26,216,226,2,1
77,167,123,0,1
112,227,199,5,1
76,145,159,0,1
112,235,143,5,1
0,198,159,3,1
74,151,155,0,1
78,135,179,0,1
90,10,255,1,1
112,221,245,5,1
50,2,255,1,1
27,211,255,2,1
112,218,244,5,1
0,174,231,3,1
13,228,255,4,1
0,180,200,3,1
114,45,188,1,1
11,237,169,4,1
12,235,202,4,1
27,237,153,2,1
110,33,195,1,1
0,192,155,3,1
27,251,139,2,1
112,231,139,5,1
111,24,214,1,1
114,28,255,1,1
78,161,136,0,1
26,219,195,2,1
111,27,255,1,1
0,187,169,3,1
26,223,202,2,1
1,182,191,3,1
26,224,224,2,1
111,228,184,5,1
112,37,174,1,2
11,234,172,4,2
11,239,192,4,2
11,245,153,4,2
11,242,177,4,2
74,162,120,0,2
26,248,149,2,2
1,212,131,3,2
111,233,174,5,2
112,227,235,5,2
115,46,255,1,2
77,155,135,0,2
0,180,190,3,2
26,220,232,2,2
114,37,244,1,2
107,19,255,1,2
111,226,204,5,2
111,229,185,5,2
74,182,94,0,2
75,172,110,0,2
0,199,141,3,2
2,218,118,3,2
109,30,197,1,2
26,229,197,2,2
113,246,107,5,2
11,246,173,4,2
116,18,211,1,2
76,154,150,0,2
113,46,255,1,2
12,236,202,4,2
111,226,226,5,2
112,229,209,5,2
113,40,240,1,2
1,185,197,3,2
1,189,181,3,2
1,198,166,3,2
11,240,154,4,2
26,224,168,2,2
