1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,11,243,170,4,0
0.66,0,0,0,0,0.34,0,0,0,0.045,0.98,0,0,1,0,0,0,207,136,3,0
0.065,0,0,0,0,0.935,0,0,0,1,0,0,0,1,0,0,179,190,160,3,0
0.96,0,0,0,0,0.04,0,0,0,0.09,0.935,0,0,1,0,0,1,210,129,3,0
0.9625,0,0,0,0,0.0375,0,0,0,0.7575,0.32,0,0,1,0,0,0,199,147,3,0
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,116,40,255,1,0
0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,112,238,150,5,0
0,0,0,1,0,0,0,0,0,0,1,0,0,0.5175,0.5675,0,111,228,178,5,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,234,228,2,0
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,112,232,224,5,0
0,0,0,1,0,0,0,0.855,0.2625,0,0,0,0,0,0,1,114,59,253,1,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0.785,0.295,0,26,232,178,2,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,238,233,4,0
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,112,233,200,5,0
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,77,176,119,0,0
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0575,0.985,111,230,212,5,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.08,0.965,26,233,218,2,0
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,75,173,122,0,0
0,0,1,0,0,0,0,0,0,0.895,0.135,0,0,1,0,0,77,193,78,0,0
0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.0025,112,52,199,1,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12,244,194,4,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,11,250,152,4,0
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,73,176,106,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,26,241,198,2,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,27,252,148,2,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0.34,0.7425,0,27,248,183,2,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.36,0.77,13,248,210,4,0
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,110,39,255,1,0
0.0175,0,0,0,0,0.9825,0,0,0,1,0,0,0,1,0,0,178,190,156,3,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12,245,202,4,0
1,0,0,0,0,0,0,0,0,0.015,0.985,0,0,0,0,1,13,244,240,4,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,27,232,217,2,0
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,77,161,133,0,0
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,103,22,255,1,0
0.9575,0,0,0,0,0.0425,0,0,0,0.9925,0.0275,0,0,0.8925,0.1225,0,0,192,172,3,0
0.98,0,0,0,0,0.02,0,0,0,0.7425,0.39,0,0,1,0,0,0,200,160,3,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,26,239,159,2,0
0,0,0,1,0,0,0,0,0,0.2025,0.8025,0,0,1,0,0,113,232,152,5,0
0.8675,0,0,0,0,0.1325,0,0,0,0.06,0.97,0,0,1,0,0,0,211,134,3,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,26,246,164,2,0
0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,111,24,193,1,0
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.445,0.6275,111,28,208,1,0
0,0.3225,0.6475,0.0575,0,0,0,1,0,0,0,0,0,1,0,0,83,7,152,1,0
0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,112,239,146,5,0
1,0,0,0,0,0,0,0,0,0.18,0.8575,0,0,1,0,0,2,210,158,3,0
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,76,153,144,0,0
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.99,0.06,112,229,203,5,0
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,75,155,124,0,0
0.0125,0.01,0.8825,0.0975,0.0025,0,0,0.2925,0.05,0.6625,0,0,0,0.7625,0.2175,0.035,73,153,156,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,241,230,4,0
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,74,162,131,0,0
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,111,226,222,5,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,239,238,4,0
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,110,28,238,1,0
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,78,163,115,0,1
0.0325,0,0,0,0,0.9675,0,0,0,1,0,0,0,1,0,0,178,187,153,3,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,232,236,4,1
0.9025,0,0,0,0,0.0975,0,0,0,0.995,0.0225,0,0,1,0,0,0,195,145,3,1
1,0,0,0,0,0,0,0,0,0.0075,0.995,0,0,0,0.075,0.9625,13,243,215,4,1
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,75,145,160,0,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0.225,0.8025,0,12,243,193,4,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0475,0.965,13,243,215,4,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,226,249,2,1
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,110,210,255,5,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,228,255,4,1
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,78,149,153,0,1
1,0.2625,0,0,0,0,0,0,0,0,1,0,0,0,0,1,29,211,255,2,1
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,76,145,173,0,1
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,112,221,239,5,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,176,230,3,1
0.0475,0,0.0375,0.915,0,0,0,1,0,0,0,0,0,0,0,1,90,1,255,1,1
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,107,22,255,1,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0.01,1,0,11,232,186,4,1
0,0,0,1,0,0,0,0,0,0.0325,0.97,0,0,0,0.99,0.0175,112,218,200,5,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,216,226,2,1
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,77,167,123,0,1
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.9625,0.0575,112,227,199,5,1
0,0,0.8625,0.1425,0,0,0,0.265,0.0625,0.68,0,0,0,0.7675,0.1025,0.135,76,145,159,0,1
0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,112,235,143,5,1
0.9525,0,0,0,0,0.0475,0,0,0,0.7675,0.295,0,0,1,0,0,0,198,159,3,1
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,74,151,155,0,1
0,0,1,0,0,0,0,0,0,1,0,0,0,0.8075,0.315,0,78,135,179,0,1
0,0,0.0025,0.9975,0,0,0,1,0,0,0,0,0,0,0,1,90,10,255,1,1
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,112,221,245,5,1
0.375,0.6675,0.0175,0.21,0,0,0,1,0,0,0,0,0,0,0,1,50,2,255,1,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,27,211,255,2,1
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,112,218,244,5,1
0.5925,0,0,0,0,0.4075,0,0,0,1,0,0,0,0,0,1,0,174,231,3,1
1,0,0,0,0,0,0,0,0,0.0925,0.91,0,0,0,0,1,13,228,255,4,1
0.6825,0,0,0,0,0.3175,0,0,0,1,0,0,0,0,0.9975,0.0025,0,180,200,3,1
0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,114,45,188,1,1
1,0,0,0,0,0,0,0,0,0.005,0.9975,0,0,0.9425,0.0675,0,11,237,169,4,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0025,12,235,202,4,1
