3,178,189,4,0
4,177,71,3,0
41,136,173,2,0
69,158,118,0,0
4,170,73,3,0
107,211,109,5,0
4,164,76,3,0
41,136,172,2,0
4,190,202,4,0
108,187,154,5,0
4,189,255,4,0
39,151,221,2,0
110,43,241,1,0
67,165,159,0,0
114,41,242,1,0
40,153,237,2,0
39,155,234,2,0
4,195,255,4,0
69,160,116,0,0
41,136,175,2,0
3,193,204,4,0
107,201,114,5,0
41,135,178,2,0
4,189,212,4,0
2,150,79,3,0
107,204,115,5,0
69,169,118,0,0
39,136,231,2,0
113,50,242,1,0
3,185,105,3,0
39,149,243,2,0
4,193,255,4,0
3,194,109,3,0
3,194,108,3,0
67,172,160,0,0
108,225,155,5,0
114,41,174,1,0
4,194,223,4,0
107,217,108,5,0
4,159,77,3,0
107,204,111,5,0
111,39,175,1,0
69,156,119,0,0
4,166,77,3,0
69,164,120,0,0
114,40,240,1,0
68,154,159,0,0
107,221,141,5,0
4,192,255,4,0
110,39,244,1,0
108,211,155,5,0
109,39,242,1,0
66,169,164,0,0
110,38,241,1,0
4,164,75,3,1
114,49,187,1,1
69,169,118,0,1
4,162,76,3,1
3,178,76,3,1
41,141,184,2,1
107,204,114,5,1
4,187,212,4,1
110,49,190,1,1
110,44,254,1,1
66,164,165,0,1
66,171,154,0,1
108,211,157,5,1
110,41,255,1,1
4,193,255,4,1
2,200,112,3,1
4,195,255,4,1
4,188,255,4,1
41,133,174,2,1
41,133,178,2,1
114,52,186,1,1
3,185,211,4,1
69,162,123,0,1
41,144,184,2,1
4,186,205,4,1
2,170,78,3,1
41,135,181,2,1
3,172,105,3,1
108,208,150,5,1
66,161,162,0,1
3,187,110,3,1
4,192,255,4,1
108,212,156,5,1
4,195,255,4,1
67,173,169,0,1
39,152,255,2,1
107,204,110,5,1
112,54,180,1,1
4,192,207,4,1
70,156,119,0,1
41,135,180,2,1
109,45,188,1,1
107,196,114,5,1
110,48,181,1,1
3,179,76,3,1
110,45,255,1,1
108,192,155,5,1
68,168,155,0,1
67,165,167,0,1
108,211,158,5,1
39,152,253,2,1
40,155,252,2,1
2,192,110,3,1
108,218,157,5,1
112,40,237,1,2
66,174,151,0,2
3,234,95,3,2
110,41,249,1,2
2,188,111,3,2
5,192,255,4,2
2,210,96,3,2
3,201,101,3,2
108,216,146,5,2
40,150,179,2,2
40,147,178,2,2
69,163,115,0,2
41,146,184,2,2
68,169,118,0,2
41,140,182,2,2
110,49,189,1,2
68,169,122,0,2
2,178,76,3,2
109,235,146,5,2
109,236,147,5,2
